Outlaw_147 {x : 239, y : 58} | killed by | Orc_100 {x : 250, y : 74}
Outlaw_122 {x : 409, y : 229} | killed by | Werewolf_101 {x : 431, y : 273}
Outlaw_113 {x : 468, y : 173} | killed by | Orc_103 {x : 441, y : 166}
Outlaw_157 {x : 364, y : 239} | killed by | Werewolf_105 {x : 328, y : 230}
Outlaw_136 {x : 405, y : 110} | killed by | Orc_108 {x : 434, y : 100}
Outlaw_146 {x : 402, y : 91} | killed by | Orc_108 {x : 434, y : 100}
Werewolf_121 {x : 302, y : 354} | killed by | Outlaw_109 {x : 317, y : 336}
Outlaw_116 {x : 358, y : 2} | killed by | Orc_110 {x : 327, y : 13}
Outlaw_138 {x : 299, y : 143} | killed by | Orc_111 {x : 311, y : 134}
Outlaw_183 {x : 345, y : 139} | killed by | Orc_111 {x : 311, y : 134}
Outlaw_168 {x : 316, y : 492} | killed by | Orc_114 {x : 337, y : 486}
Outlaw_192 {x : 205, y : 51} | killed by | Werewolf_115 {x : 229, y : 92}
Outlaw_184 {x : 498, y : 152} | killed by | Orc_118 {x : 491, y : 125}
Outlaw_133 {x : 2, y : 398} | killed by | Werewolf_119 {x : 31, y : 404}
Outlaw_186 {x : 15, y : 420} | killed by | Werewolf_119 {x : 31, y : 404}
Outlaw_130 {x : 124, y : 6} | killed by | Orc_127 {x : 130, y : 2}
Outlaw_153 {x : 124, y : 7} | killed by | Orc_127 {x : 130, y : 2}
Outlaw_102 {x : 379, y : 424} | killed by | Orc_132 {x : 338, y : 439}
Outlaw_193 {x : 477, y : 413} | killed by | Orc_139 {x : 469, y : 413}
Werewolf_150 {x : 99, y : 96} | killed by | Outlaw_140 {x : 58, y : 95}
Werewolf_191 {x : 65, y : 98} | killed by | Outlaw_140 {x : 58, y : 95}
Werewolf_180 {x : 456, y : 356} | killed by | Outlaw_143 {x : 443, y : 366}
Outlaw_172 {x : 378, y : 262} | killed by | Orc_144 {x : 353, y : 268}
Werewolf_171 {x : 163, y : 212} | killed by | Outlaw_145 {x : 196, y : 213}
Werewolf_196 {x : 200, y : 210} | killed by | Outlaw_145 {x : 196, y : 213}
Outlaw_161 {x : 248, y : 386} | killed by | Orc_152 {x : 261, y : 406}
Outlaw_190 {x : 26, y : 201} | killed by | Orc_156 {x : 35, y : 227}
Werewolf_177 {x : 95, y : 485} | killed by | Outlaw_159 {x : 124, y : 448}
Outlaw_179 {x : 194, y : 270} | killed by | Orc_160 {x : 218, y : 273}
Outlaw_185 {x : 204, y : 232} | killed by | Orc_160 {x : 218, y : 273}
Outlaw_159 {x : 124, y : 448} | killed by | Orc_163 {x : 145, y : 469}
Werewolf_182 {x : 109, y : 250} | killed by | Outlaw_166 {x : 153, y : 245}
Outlaw_173 {x : 336, y : 369} | killed by | Orc_167 {x : 319, y : 397}
Outlaw_176 {x : 302, y : 373} | killed by | Orc_167 {x : 319, y : 397}
Outlaw_104 {x : 43, y : 488} | killed by | Orc_197 {x : 54, y : 484}
Outlaw_143 {x : 443, y : 366} | killed by | Werewolf_101 {x : 431, y : 273}
Outlaw_151 {x : 455, y : 224} | killed by | Werewolf_101 {x : 431, y : 273}
Outlaw_166 {x : 153, y : 245} | killed by | Orc_106 {x : 113, y : 304}
Outlaw_170 {x : 48, y : 326} | killed by | Orc_106 {x : 113, y : 304}
Outlaw_145 {x : 196, y : 213} | killed by | Orc_107 {x : 210, y : 158}
Werewolf_174 {x : 277, y : 268} | killed by | Outlaw_109 {x : 317, y : 336}
Werewolf_178 {x : 290, y : 408} | killed by | Outlaw_109 {x : 317, y : 336}
Outlaw_140 {x : 58, y : 95} | killed by | Orc_112 {x : 150, y : 80}
Outlaw_109 {x : 317, y : 336} | killed by | Orc_144 {x : 353, y : 268}
Outlaw_181 {x : 464, y : 3} | killed by | Orc_108 {x : 434, y : 100}
