Werewolf_89 {x : 35, y : 52} | killed by | Outlaw_57 {x : 39, y : 51}
Outlaw_51 {x : 33, y : 94} | killed by | Orc_63 {x : 40, y : 92}
Outlaw_67 {x : 49, y : 71} | killed by | Werewolf_69 {x : 57, y : 71}
Outlaw_73 {x : 56, y : 34} | killed by | Werewolf_85 {x : 51, y : 28}
Outlaw_98 {x : 37, y : 5} | killed by | Werewolf_87 {x : 37, y : 3}
Outlaw_65 {x : 18, y : 26} | killed by | Werewolf_93 {x : 23, y : 27}
Outlaw_57 {x : 38, y : 52} | killed by | Werewolf_75 {x : 35, y : 46}
Outlaw_52 {x : 7, y : 75} | killed by | Orc_79 {x : 6, y : 75}
Outlaw_99 {x : 6, y : 59} | killed by | Werewolf_50 {x : 5, y : 57}
Outlaw_78 {x : 88, y : 79} | killed by | Werewolf_60 {x : 92, y : 84}
Outlaw_97 {x : 86, y : 33} | killed by | Orc_76 {x : 84, y : 34}
Werewolf_71 {x : 20, y : 34} | killed by | Outlaw_92 {x : 23, y : 33}
Werewolf_93 {x : 33, y : 20} | killed by | Outlaw_55 {x : 36, y : 18}
Outlaw_61 {x : 93, y : 22} | killed by | Werewolf_74 {x : 96, y : 27}
Outlaw_81 {x : 81, y : 16} | killed by | Orc_80 {x : 82, y : 14}
Outlaw_53 {x : 45, y : 32} | killed by | Werewolf_85 {x : 48, y : 26}
Werewolf_75 {x : 17, y : 28} | killed by | Outlaw_92 {x : 21, y : 28}
Outlaw_55 {x : 25, y : 19} | killed by | Werewolf_68 {x : 21, y : 24}
Werewolf_68 {x : 21, y : 24} | killed by | Outlaw_92 {x : 25, y : 21}
Werewolf_64 {x : 19, y : 62} | killed by | Outlaw_59 {x : 24, y : 62}
Werewolf_69 {x : 27, y : 20} | killed by | Outlaw_92 {x : 25, y : 18}
Outlaw_59 {x : 26, y : 58} | killed by | Werewolf_60 {x : 28, y : 62}
Werewolf_84 {x : 78, y : 60} | killed by | Outlaw_66 {x : 80, y : 58}
Outlaw_66 {x : 86, y : 59} | killed by | Werewolf_72 {x : 81, y : 65}
Outlaw_92 {x : 18, y : 30} | killed by | Werewolf_91 {x : 16, y : 22}
